#                  name    selected         comp(a)    formation_energy    hull_dist(MASTER,atom_frac)        clex()    clex_hull_dist(MASTER,atom_frac)
    SCEL1_1_1_1_0_0_0/0           1      1.00000000          0.00000000                     0.00000000    0.00638554                          0.00000000
    SCEL1_1_1_1_0_0_0/1           1      0.00000000          0.03957646                     0.00000000    0.02843698                          0.00000000
    SCEL2_2_1_1_0_0_1/0           1      0.50000000          -0.01383632                    0.07908783    -0.01029021                         0.07885180
    SCEL2_2_1_1_0_1_1/0           1      0.50000000          -0.03327882                    0.06612617    -0.03225845                         0.06420630
    SCEL3_3_1_1_0_0_2/0           1      0.66666667          -0.06338554                    0.02815750    -0.06712039                         0.02500263
    SCEL3_3_1_1_0_0_2/1           1      0.33333333          0.02390491                     0.07507906    0.02823103                          0.07834798
    SCEL3_3_1_1_0_2_1/0           1      0.66666667          -0.10334154                    0.00418390    -0.10270184                         0.00365375
    SCEL3_3_1_1_0_2_1/1           1      0.33333333          -0.04529576                    0.02317856    -0.04743453                         0.02159881
    SCEL3_3_1_1_0_2_2/0           1      0.66666667          0.01616612                     0.07588850    0.01541956                          0.07452660
    SCEL3_3_1_1_0_2_2/1           1      0.33333333          0.01525024                     0.06858806    0.01435563                          0.06794143
    SCEL4_2_2_1_0_1_0/0           1      0.75000000          -0.08184416                    0.00946186    -0.08441188                         0.00828075
    SCEL4_2_2_1_0_1_0/1           1      0.25000000          0.00283177                     0.04071880    0.00508984                          0.04412424
    SCEL4_2_2_1_1_1_0/0           1      0.75000000          0.04062359                     0.07944343    0.04041405                          0.07960986
    SCEL4_2_2_1_1_1_0/1           1      0.25000000          -0.03132248                    0.01339540    -0.02755565                         0.01800785
    SCEL4_4_1_1_0_0_0/0           1      0.75000000          -0.03514166                    0.03614900    -0.02239972                         0.04371627
    SCEL4_4_1_1_0_0_0/1           1      0.50000000          0.02063093                     0.10206600    0.01899591                          0.09837588
    SCEL4_4_1_1_0_0_0/2           1      0.25000000          0.02262802                     0.05655580    0.02076760                          0.05666645
    SCEL4_4_1_1_0_0_2/0           1      0.75000000          -0.09671416                    0.00096471    -0.09738002                         0.00087039
    SCEL4_4_1_1_0_0_2/1           1      0.50000000          -0.04330832                    0.05943983    -0.04087743                         0.05846032
    SCEL4_4_1_1_0_0_2/2           1      0.25000000          0.01807152                     0.05291060    0.02102463                          0.05687207
    SCEL4_4_1_1_0_0_3/0           1      0.75000000          -0.01988016                    0.04486986    -0.02548016                         0.04195602
    SCEL4_4_1_1_0_0_3/1           1      0.50000000          -0.01958857                    0.07525300    -0.01480493                         0.07584198
    SCEL4_4_1_1_0_0_3/2           1      0.25000000          0.01329377                     0.04908840    0.00781374                          0.04630336
    SCEL4_4_1_1_0_1_0/0           1      0.75000000          -0.05279891                    0.02605914    -0.05731901                         0.02376239
    SCEL4_4_1_1_0_1_0/1           1      0.50000000          -0.02725232                    0.07014383    -0.03677814                         0.06119318
    SCEL4_4_1_1_0_1_0/2           1      0.25000000          0.00992627                     0.04639440    0.01140235                          0.04917425
    SCEL4_4_1_1_0_2_1/0           1      0.75000000          -0.04620766                    0.02982557    -0.04751767                         0.02936316
    SCEL4_4_1_1_0_2_1/1           1      0.50000000          -0.13246807                    0.00000000    -0.12856790                         0.00000000
    SCEL4_4_1_1_0_2_1/2           1      0.25000000          -0.04806673                    0.00000000    -0.04999517                         0.00005624
    SCEL5_1_1_5_0_0_0/0           1      0.80000000          -0.00600593                    0.04578589    -0.01395348                         0.04318156
    SCEL5_1_1_5_0_0_0/1           1      0.60000000          0.00576515                     0.07808825    0.00095273                          0.07353422
    SCEL5_1_1_5_0_0_0/2           1      0.60000000          -0.00874985                    0.06901638    -0.00749137                         0.06825666
    SCEL5_1_1_5_0_0_0/3           1      0.40000000          -0.00212398                    0.06898825    -0.00170528                         0.06818689
    SCEL5_1_1_5_0_0_0/4           1      0.40000000          0.02927302                     0.09141468    0.03072073                          0.09134833
    SCEL5_1_1_5_0_0_0/5           1      0.20000000          0.02443009                     0.04580682    0.02601090                          0.05031322
    SCEL5_5_1_1_0_0_3/0           1      0.80000000          -0.05791073                    0.01694989    -0.06942853                         0.01236208
    SCEL5_5_1_1_0_0_3/1           1      0.60000000          -0.08757945                    0.01974788    -0.07960024                         0.02318862
    SCEL5_5_1_1_0_0_3/2           1      0.60000000          -0.05363025                    0.04096612    -0.04902249                         0.04229970
    SCEL5_5_1_1_0_0_3/3           1      0.40000000          -0.02531138                    0.05242582    -0.02787963                         0.04949092
    SCEL5_5_1_1_0_0_3/4           1      0.40000000          0.00539222                     0.07435696    -0.00124553                         0.06851528
    SCEL5_5_1_1_0_0_3/5           1      0.20000000          0.03095969                     0.05124815    0.03447933                          0.05737025
    SCEL5_5_1_1_0_0_4/0           1      0.80000000          -0.04938953                    0.02168389    -0.03400913                         0.03203953
    SCEL5_5_1_1_0_0_4/1           1      0.60000000          -0.04730905                    0.04491688    -0.05002531                         0.04167295
    SCEL5_5_1_1_0_0_4/2           1      0.60000000          0.00802395                     0.07950000    -0.00227921                         0.07151426
    SCEL5_5_1_1_0_0_4/3           1      0.40000000          0.01721022                     0.08279839    0.01563308                          0.08057143
    SCEL5_5_1_1_0_0_4/4           1      0.40000000          -0.01058398                    0.06294539    -0.01255650                         0.06043602
    SCEL5_5_1_1_0_0_4/5           1      0.20000000          0.02557549                     0.04676132    0.02578225                          0.05012268
    SCEL5_5_1_1_0_1_3/0           1      0.80000000          -0.07895133                    0.00526067    -0.08098455                         0.00594207
    SCEL5_5_1_1_0_1_3/1           1      0.60000000          -0.10494705                    0.00889313    -0.09694084                         0.01235074
    SCEL5_5_1_1_0_1_3/2           1      0.40000000          -0.05736098                    0.02953325    -0.05902976                         0.02724083
    SCEL5_5_1_1_0_1_3/3           1      0.20000000          -0.00083071                    0.02475615    -0.00075211                         0.02801072
    SCEL5_5_1_1_0_4_3/0           1      0.80000000          -0.04813633                    0.02238011    -0.04833449                         0.02408099
    SCEL5_5_1_1_0_4_3/1           1      0.60000000          -0.04979265                    0.04336463    -0.05196669                         0.04045958
    SCEL5_5_1_1_0_4_3/2           1      0.60000000          -0.01327965                    0.06618525    -0.01414844                         0.06409599
    SCEL5_5_1_1_0_4_3/3           1      0.40000000          -0.01999398                    0.05622396    -0.02109866                         0.05433448
    SCEL5_5_1_1_0_4_3/4           1      0.40000000          0.00087202                     0.07112825    -0.00536961                         0.06556951
    SCEL5_5_1_1_0_4_3/5           1      0.20000000          -0.00893691                    0.01800098    -0.00427734                         0.02507303
    SCEL6_2_3_1_0_1_0/0           1      0.83333333          -0.04912427                    0.01780455    -0.05059012                         0.01978630
    SCEL6_2_3_1_0_1_0/1           1      0.66666667          -0.07678388                    0.02011850    -0.07272034                         0.02164266
    SCEL6_2_3_1_0_1_0/2           1      0.66666667          -0.06121288                    0.02946110    -0.05859546                         0.03011758
    SCEL6_2_3_1_0_1_0/3           1      0.50000000          -0.03806665                    0.06293428    -0.04050354                         0.05870958
    SCEL6_2_3_1_0_1_0/4           1      0.50000000          -0.01601665                    0.07763428    -0.01359581                         0.07664806
    SCEL6_2_3_1_0_1_0/5           1      0.33333333          0.01214624                     0.06626006    0.00639851                          0.06197359
    SCEL6_2_3_1_0_1_0/6           1      0.33333333          0.01073974                     0.06520519    0.01204901                          0.06621147
    SCEL6_2_3_1_0_1_0/7           1      0.16666667          0.02731914                     0.03957554    0.02953842                          0.04580263
    SCEL6_3_1_2_0_0_0/0           1      0.83333333          -0.05407094                    0.01510636    -0.05776673                         0.01587179
    SCEL6_3_1_2_0_0_0/1           1      0.66666667          -0.06642321                    0.02633490    -0.06649928                         0.02537529
    SCEL6_3_1_2_0_0_0/2           1      0.66666667          -0.07682738                    0.02009240    -0.07324014                         0.02133077
    SCEL6_3_1_2_0_0_0/3           1      0.50000000          -0.02988432                    0.06838917    -0.03012455                         0.06562890
    SCEL6_3_1_2_0_0_0/4           1      0.50000000          -0.01606932                    0.07759917    -0.01388956                         0.07645223
    SCEL6_3_1_2_0_0_0/5           1      0.33333333          0.01611758                     0.06923856    0.01432322                          0.06791712
    SCEL6_3_1_2_0_0_0/6           1      0.33333333          0.00728758                     0.06261606    0.00562622                          0.06139437
    SCEL6_3_1_2_0_0_0/7           1      0.16666667          0.02043280                     0.03367297    0.02732458                          0.04390505
    SCEL6_3_1_2_0_0_2/0           1      0.83333333          -0.03561761                    0.02517182    -0.04838114                         0.02099120
    SCEL6_3_1_2_0_0_2/1           1      0.66666667          -0.04343854                    0.04012570    -0.03689949                         0.04313516
    SCEL6_3_1_2_0_0_2/2           1      0.66666667          -0.07089354                    0.02365270    -0.06560062                         0.02591449
    SCEL6_3_1_2_0_0_2/3           1      0.50000000          -0.03339648                    0.06604772    -0.03208562                         0.06432152
    SCEL6_3_1_2_0_0_2/4           1      0.50000000          -0.02155865                    0.07393961    -0.02818867                         0.06691949
    SCEL6_3_1_2_0_0_2/5           1      0.33333333          -0.00026876                    0.05694881    -0.00163684                         0.05594708
    SCEL6_3_1_2_0_0_2/6           1      0.33333333          0.00115391                     0.05801581    0.00316436                          0.05954798
    SCEL6_3_1_2_0_0_2/7           1      0.16666667          0.03145880                     0.04312383    0.03298340                          0.04875546
